,ranking,title,artist,peak,prev,streak
0,1, Turn The Lights Off,"Kato, Jon",1,1,27
1,2, I Thought I Saw Your Face Today,She & Him,2,2,55
2,3, Fanatismo,Yasmin Sensação,2,3,6
3,4," Gehra Hua (From ""Dhurandhar"")","Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan",4,4,20
4,5, Pase y Toque,"BeatBoy, Victor Mendivil",5,6,6
5,6, SO ASU x Dora Dora,melo,5,5,4
6,7, FA9LA,Flipperachi,1,7,26
7,8, gravity,all things break,6,9,20
8,9, you broke my heart (Hoodtrap / Mylancore Remix),"kobzx2z, Myla, Kryd",9,10,3
9,10, DUY BENİ,Göksel İpekçi,7,8,6
10,11, End of Beginning,Djo,1,18,35
11,12, Seet Lehar,"Filmy, Riyaazi",9,11,11
12,13, Die On This Hill,SIENNA SPIRO,8,13,69
13,14, Ishqa Ve,"Zeeshan Ali, Yuvraj Tung, Sandeep Aulakh, Honey Dhillon",7,14,44
14,15, Alô Virgínia - Ao Vivo,"Grupo Chocolate, Turma do Pagode",5,12,13
15,16, EEEE A,dia,12,15,16
16,17, Al Final del Día,Xolo Music,16,16,4
17,18, Zoo,"Disney, Shakira",6,19,38
18,19, My Moon My Man,Feist,19,20,12
19,20, 4 Raws,EsDeeKid,11,21,104
20,21, KALYANI,"ARJN, KDS, FIFTY4, RONN",21,22,34
21,22, Montagem Miau,Lenar,3,23,34
22,23," Big Guy - from ""The SpongeBob Movie: Search for SquarePants”",Ice Spice,23,27,34
23,24, BOO,H3adband,22,25,20
24,25, Meri Zindagi Hai Tu,"Asim Azhar, Sabri Sisters",15,26,30
25,26, Ya Borracho,Herencia De Grandes,7,29,41
26,27, bargad,"sufr, Arpit Bala, toorjo dey",1,24,43
27,28, Menerima Luka,Natasya Sabella,28,31,3
28,29, Beast (feat. Waka Flocka),"Mia Martina, Waka Flocka Flame",29,44,3
29,30, Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",19,28,6
30,31, Never Ending Story,"Gaten Matarazzo, Gabriella Pizzolo",1,37,38
31,32, Hawa Hawa,Hassan Jahangir,28,30,7
32,33, Turn The Lights Off,"Justė, Jaxstyle, Jon",4,33,22
33,34, kota ini tak sama tanpamu,Nadhif Basalamah,33,35,23
34,35, Tirol,DJ Ötzi,34,34,4
35,36, ดอกกระเจียวบาน,Kong Huayrai,18,32,6
36,37, KUSURA BAKMA,BLOK3,5,36,20
37,38, SNOKONOKO,"Al Xapo, Benzoo, EeQue",9,38,20
38,39, Strut,"Ayanna Ife, ZEDDY WILL, Jenn Carter",21,40,16
39,40, Dooron Dooron,"Paresh Pahuja, Shiv Tandan, Meghdeep Bose",23,41,97
40,41, ZEP (feat. Uncool MC),"Dj Smallz, ZinedinexSguche, 031CHOPPA, Uncool MC",5,42,13
41,42, Meu Bem Querer,Yasmin Sensação,21,39,6
42,43, A Little Thing Like Love,Kayla Kross,43,43,4
43,44, Running Up That Hill (A Deal With God),Kate Bush,1,47,7
44,45, Good Goodbye,HWASA,4,46,38
45,46, NOT CUTE ANYMORE,ILLIT,14,48,27
46,47, Sedia Aku Sebelum Hujan,Idgitaf,10,45,45
47,48, Raindance (feat. Tems),"Dave, Tems",20,50,19
48,49, İntihaşk,Onur Can Özcan,49,57,5
49,50, Be3teeny Leh | Red Bull Mazzika Salonat,"Amr Mostafa, ZIAD ZAZA, Moataz Mady, Red Bull Sika",11,49,20
50,51, Gal Sun,"Sabat Batin, Rackstar",4,51,54
51,52, SENDA BELLAKONA,SINAKA,52,54,5
52,53, WHERE IS MY HUSBAND!,RAYE,2,56,90
53,54, Phantom,"EsDeeKid, Rico Ace",16,53,111
54,55," Sitaare (From ""Ikkis"")","Arijit Singh, White Noise Collectives, Amitabh Bhattacharya",44,55,13
55,56, Purple Rain,Prince,1,100,2
56,57, When It's Cold I'd Like to Die,"Moby, Mimi Goese",57,60,4
57,58, Esse Cupido Não Me Ajuda,"Dexhenry, DJ QUIRINO, Yuri Redicopa, Ascending",8,52,27
58,59, FDO,Pooh Shiesty,36,59,6
59,60, Pag-Ibig ay Kanibalismo II,fitterkarma,2,62,65
60,61, Bunu Senden Beklemezdim,Eda Doğanay,4,61,24
61,62, Love Me,JMSN,26,63,45
62,63, Silêncio,"Toca Aquela, Breno Major, Mariana Fagundes, Thauane",7,58,13
63,64, Fever,"Buckshot, fakemink",21,64,47
64,65, I Run,"HAVEN., Kaitlin Aragon",4,65,27
65,66, Ada titik-titik di ujung doa,Sal Priadi,66,69,5
66,67, Upside Down,Diana Ross,67,70,5
67,68, Choosin' Texas,Ella Langley,18,74,62
68,69, Nakupenda,"TxC, Davido, Shoday, Scotts Maphuma, Zlatan, Al Xapo",48,67,6
69,70, Disarankan di Bandung,"Dongker, Jason Ranti",9,68,40
70,71, Yeniden,Ragga Oktay,11,66,23
71,72, LA VILLA,"Ryan Castro, Kapo, Gangsta",71,71,8
72,73, SENCY,"dia, Tenxi",66,79,18
73,74, CHANEL,Tyla,23,73,55
74,75, I Want Things to Be Beautiful,Devi McCallion,61,75,19
75,76," Naal Nachna (From ""Dhurandhar"")","Afsana Khan, Reble, Shashwat Sachdev, Irshad Kamil",59,76,13
76,77, Ishq Jalakar - Karvaan,"Shashwat Sachdev, Shahzad Ali, Subhadeep Das Chowdhury, Armaan Khan, Irshad Kamil, Roshan, Sahir Ludhianvi",18,72,20
77,78, Dardos,"Romeo Santos, Prince Royce",47,78,20
78,79, I Think They Call This Love - Cover,Matthew Ifield,43,77,33
79,80, New Year’s Day,Taylor Swift,44,86,2
80,81, Century,EsDeeKid,19,82,48
81,82, Panis ka boy,"GA Chillerong Ghetto, Paul N Ballin",70,81,12
82,83, Um Novo Dia - Ao Vivo,"Get Worship, Get Records, Melk Villar, Vinicius Cruz",83,92,2
83,84, Kalapastangan,fitterkarma,8,84,61
84,85, กลัวว่าฉันจะไม่เสียใจ (Fear),PURPEECH,52,80,64
85,86, NO ME QUIERO CASAR,Bad Bunny,86,93,2
86,87, herkes kendine yakışanı yapsın,"Organize, Waxy",16,83,27
87,88, So Easy (To Fall In Love),Olivia Dean,7,90,83
88,89, Posso Até Não Te Dar Flores,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG",5,85,88
89,90, Who Knows,Daniel Caesar,9,88,55
90,91, Tahanan,El Manu,64,—,1
91,92," Shararat (From ""Dhurandhar"")","Shashwat Sachdev, Madhubanti Bagchi, Jasmine Sandlas",59,89,20
92,93, Dekha Hi Nahi,Osho Jain,69,87,13
93,94, Too Sweet,"Trinix, The Macarons Project",85,91,9
94,95, BYE BYE,"Era7capone, Murda",91,96,6
95,96, Everything Is Romantic,Orchestra Club,16,95,43
96,97, La Perla,"ROSALÍA, Yahritza Y Su Esencia",3,94,41
97,98, Livin’ on Borrowed Time,Breaking Rust,3,—,1
98,99, The Fate of Ophelia,Taylor Swift,7,97,6
99,100, Eu Te Seguro - Ao Vivo,"Panda, MJ Records",49,—,1
